english,chinese,korean,thai
Reset Level,重置本关卡,이 수준을 재설정,รีเซ็ตระดับนี้
Reset Game,重置游戏,리셋 게임,รีเซ็ตเกม
Memorabilia,记忆箱,추억,ความทรงจำ
Main Menu,回到主菜单,메인 메뉴,เมนูหลัก
English,English,English,English
中文,中文,中文,中文
한국어,한국어,한국어,한국어
ภาษาไทย,ภาษาไทย,ภาษาไทย,ภาษาไทย
A,阿,알,อัล
lzh,尔,츠,ไ
e,茨,하,ซ
i,海,이,เม
mer's,默,머,อร์
Mem,守,기,ผู้รั
ories,护,억들,กษา
,,,
,,,
,,,
,,,
,,,
"Alzheimer’s: Memories is a point-and-click adventure that tells the story of an old man diagnosed with Alzheimer's Disease. In the game, you will re-experience moments of the life of the old man, and help him find out about his own past.",,"치매의: 기억들은 치매 진단을 받은 노인의 이야기를 들려주는 포인트-클릭 모험 게임입니다. 게임에서 여러분들은 노인의 삶의 순간들을 재경험하고, 노인이 자신의 과거에 대해 알아내는 것을 도울 것입니다.",
Estimated play time 40-70 minutes.,,예상 플레이 타임: 40-70분,
"You are having trouble remembering; things like what you ate for breakfast, where you put the car key, or who are the people shown in the photos on your desk. Still, those will prove to be only minor problems. After all, you live a very simple life during the day.",,"기억하는게 어렵다; 아침으로 무엇을 먹었는지, 차키를 어디에다가 두었는지, 책상 위 사진 속 사람들은 누구인지. 그래도 이건 작은 문제일 뿐이다. 어차피 낮시간 동안에는 단순한 삶을 산다.",
"It is the night time that is more difficult. In dreams, one has to make sense. Where are you? What are those things you see? Why does everything feel familiar, but also strange?",,밤은 어렵다. 꿈에서는 알아야 한다. 나는 어디인가? 저기 보이는 것들은 무엇인가? 왜 모든 것이 친숙하면서도 낯선가?,
Dreams are not simple. Dreams are complicated… Dreams are forgotten bits of your past clinging on to you. Dreams are the only treasure you’ll ever really possess.,,꿈은 간단하지 않다. 꿈은 복잡하다. 꿈 속에서는 잃어버린 과거조각들이 나에게 찾아와 엉겨붙는다. 꿈은 내가 온전히 소유할 수 있는 유일한 보물이다.  ,
,,,
,,,
,,,
,,,
"1. [overall] the translation of Alzheimer's (Alzheimer's disease). 1) to distinguish between dementia(치매) and Alzheimer's disease(알츠하이머병); 2) the proper use of ""치매"" regarding its sociolinguistic meanings",,,
"2. [2] comapred with the Chinese version it means ""Alzheimer's: Guard(수호(守護))"", may need to further concern the use of ""memories""",,,
"3. [13] comapred with the Chinese version it would mean ""하지만 난 일상생활은 문제가 없다.""",,,
"4. [23] seems to be the player's word, not sure if it's to be honorific speech 🤔",,,
5. [32-34] sooo poetic,,,
